uf,north,west,south,east
AC,-7.110,-74.000,-11.150,-66.600
AL,-8.810,-38.240,-10.500,-35.150
AP,4.440,-54.880,-1.230,-49.870
AM,2.250,-73.800,-9.820,-56.100
BA,-8.530,-46.620,-18.350,-37.340
CE,-2.780,-41.420,-7.860,-37.250
DF,-15.500,-48.290,-16.050,-47.310
ES,-17.890,-41.880,-21.300,-39.660
GO,-12.390,-53.250,-19.500,-45.900
MA,-1.040,-48.750,-10.260,-41.800
MT,-7.349,-61.636,-18.041,-50.225
MS,-17.160,-58.170,-24.070,-50.920
MG,-14.230,-51.050,-22.920,-39.860
PA,2.590,-58.900,-9.840,-46.060
PB,-6.020,-38.770,-8.300,-34.790
PR,-22.520,-54.620,-26.720,-48.020
PE,-7.300,-41.360,-9.480,-34.810
PI,-2.740,-45.990,-10.930,-40.370
RJ,-20.764,-44.889,-23.368,-40.957
RN,-4.830,-38.580,-6.980,-34.970
RS,-27.080,-57.650,-33.750,-49.690
RO,-7.970,-66.810,-13.690,-59.770
RR,5.270,-64.820,-1.580,-58.890
SC,-25.950,-53.840,-29.360,-48.350
SP,-19.780,-53.110,-25.312,-44.161
SE,-9.510,-38.250,-11.570,-36.390
TO,-5.170,-50.740,-13.470,-45.690
